"Phys. Inventory Doc.","Material","Description","Plant","Storage Location","Book quantity (MB52)","Qty Counted","Difference Quantity","Base Unit of Measure","Net Cost Difference"
"100317043","75C141114P502D","SPECTRA RENEWAL PARTS","","FLOR","320","0","0","H87","0"
"100324108","10054980P2","SIDE FR.","","FLOR","5","0","0","H87","0"
"100324109","10081114P11","SC SPLT NEUT LINE STUB 40A","","FLOR","24","0","0","H87","0"
"100325130","10081114P12","SC SPLT NEUT LINE STUB 30A","","FLOR","6","0","0","H87","0"
"100325131","10081114P7","SC SPLT NEUT LINE STUB 12A","","FLOR","1","0","0","H87","0"
"100325132","10081114P8","AUX NEUTRAL","","FLOR","2","0","0","H87","0"
"100325133","10081117P13","SC SPLT NEUT LOAD GF 25A","","FLOR","2","0","0","H87","0"
"100325134","10081117P14","AUX NEUTRAL","","FLOR","2","0","0","H87","0"
"100325135","10081117P16","SC SPLT NEUT LOAD GF 30A","","FLOR","1","0","0","H87","0"
"100325136","10081117P19","SC SPLT NEUT LOAD GF 40A","","FLOR","2","0","0","H87","0"
"100325137","10081125P15","SC SPLT NEUT LOAD SE 30A","","FLOR","2","0","0","H87","0"
"100325138","10081127P1","SA SPLT NEUT LINE STUB 80/16A","","FLOR","2","0","0","H87","0"
"100325139","10081127P10","SA SPLT NEUT LINE STUB 30A","","FLOR","4","0","0","H87","0"
"100325140","10081127P11","SPLIT NEUTRAL","","FLOR","10","0","0","H87","0"
"100325141","10081127P5","SA SPLT NEUT LINE STUB 80/16A","","FLOR","11","0","0","H87","0"
"100325142","10081127P8","SA SPLT NEUT LINE STUB 25A","","FLOR","8","0","0","H87","0"
"100325143","10081127P9","SA SPLT NEUT LINE STUB 25A","","FLOR","4","0","0","H87","0"
"100325144","10081128P13","SA SPLT NEUT LOAD 35W 25A","","FLOR","2","0","0","H87","0"
"100313760","B334P135A10A","AL BUS 35W 10A/20A","","FLOR","284","0","0","H87","0"
"100325146","10081129P11","SA SPLT NEUT LOAD 40W 25A","","FLOR","4","0","0","H87","0"
"100325147","10081129P15","SA SPLT NEUT LOAD 40W 30A","","FLOR","10","0","0","H87","0"
"100325148","10081129P4","SA SPLT NEUT LOAD 40W 80/16A","","FLOR","2","0","0","H87","0"
